	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
GCA_002077515.1_ASM207751v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3483378	0	85	85	127348	127348	40980	40980	278935	278935	42.6	4.68	87.33	11	3350	1	171	0	0	0	0
GCA_002077535.1_ASM207753v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2931215	0	43	43	147275	147275	68167	68167	409285	409285	37.9	3.21	83.89	11	2669	1	171	0	0	0	0
GCA_002077545.1_ASM207754v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2764754	0	235	235	22243	22243	11764	11764	91003	91003	37.0	2.78	84.29	11	2621	1	171	0	0	0	0
GCA_002077575.1_ASM207757v1	Firmicutes (1)	1349	172	99	98.99	0.51	100.0	3042973	0	28	28	318502	318502	108677	108677	579062	579062	36.7	4.67	84.07	11	2782	1	170	1	0	0	0
GCA_002077585.1_ASM207758v1	Firmicutes (1)	1349	172	99	98.99	1.01	0.0	2783595	0	111	111	63934	63934	25077	25077	165410	165410	37.9	3.32	85.12	11	2712	1	170	1	0	0	0
GCA_002077615.1_ASM207761v1	Firmicutes (1)	1349	172	99	98.99	1.01	0.0	3639213	0	50	50	170855	170855	72784	72784	305231	305231	42.2	5.07	87.97	11	3403	1	170	1	0	0	0
GCA_002077625.1_ASM207762v1	Firmicutes (1)	1349	172	99	97.98	0.0	0.0	2711647	0	182	182	41709	41709	14899	14899	139444	139444	38.3	3.3	86.17	11	2688	2	170	0	0	0	0
GCA_002077725.1_ASM207772v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3055159	1	159	159	55806	55806	19214	19214	161958	161958	34.9	3.36	82.85	11	2910	1	171	0	0	0	0
GCA_002077915.1_ASM207791v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2772515	0	28	28	321979	321979	99018	99018	454733	454733	37.7	5.33	85.24	11	2604	1	171	0	0	0	0
GCA_002088065.1_ASM208806v1	Firmicutes (1)	1349	172	99	98.99	0.03	0.0	2964736	232	42	43	232593	232593	70588	68941	906625	906625	37.4	3.42	88.1	11	2832	1	170	1	0	0	0
GCA_002105335.1_ASM210533v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2919741	0	104	104	82631	82631	28074	28074	146978	146978	37.4	3.29	88.13	11	2834	1	171	0	0	0	0
GCA_002105365.1_ASM210536v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2907412	0	113	113	87236	87236	25729	25729	229287	229287	37.4	3.93	88.02	11	2827	1	171	0	0	0	0
GCA_002106875.1_ASM210687v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2748090	0	53	53	104896	104896	51850	51850	398118	398118	37.6	3.09	88.8	11	2595	1	171	0	0	0	0
GCA_002106895.1_ASM210689v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2794822	0	94	94	88847	88847	29732	29732	263236	263236	37.6	3.69	88.55	11	2661	1	171	0	0	0	0
GCA_002106905.1_ASM210690v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3073037	0	102	102	72983	72983	30127	30127	236793	236793	37.3	3.35	88.19	11	3039	1	171	0	0	0	0
GCA_002106915.1_ASM210691v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2748954	0	39	39	202764	202764	70486	70486	398231	398231	37.6	2.67	88.74	11	2586	1	171	0	0	0	0
GCA_002106955.1_ASM210695v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2838492	0	82	82	110689	110689	34615	34615	259227	259227	37.5	3.12	88.44	11	2799	1	171	0	0	0	0
GCA_002106975.1_ASM210697v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2763986	0	114	114	68747	68747	24245	24245	140015	140015	37.6	3.79	88.54	11	2654	1	171	0	0	0	0
GCA_002106995.1_ASM210699v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2862605	0	99	99	91763	91763	28915	28915	370502	370502	37.5	3.94	88.1	11	2791	1	171	0	0	0	0
GCA_002107005.1_ASM210700v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2957936	0	95	95	106874	106874	31136	31136	402390	402390	37.5	3.53	88.0	11	2856	1	171	0	0	0	0
GCA_002107015.1_ASM210701v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2862863	0	122	122	70129	70129	23466	23466	223177	223177	37.5	3.72	88.35	11	2768	1	171	0	0	0	0
GCA_002107055.1_ASM210705v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2683026	0	405	405	13849	13849	6624	6624	67642	67642	38.0	2.08	89.26	11	2674	1	171	0	0	0	0
GCA_002107075.1_ASM210707v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3004076	0	107	107	92221	92221	28075	28075	251640	251640	37.3	3.28	87.98	11	2953	1	171	0	0	0	0
GCA_002107085.1_ASM210708v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2900886	0	148	148	55590	55590	19600	19600	244138	244138	37.4	3.52	87.95	11	2838	1	171	0	0	0	0
GCA_002107095.1_ASM210709v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2874115	0	55	55	166226	166226	52256	52256	376559	376559	37.5	3.87	88.33	11	2742	1	171	0	0	0	0
GCA_002107125.1_ASM210712v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2923290	0	111	111	58619	58619	26335	26335	323944	323944	37.4	3.44	88.34	11	2835	1	171	0	0	0	0
GCA_002108195.1_ASM210819v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3058003	0	127	127	91123	91123	24078	24078	171451	171451	37.3	3.8	88.21	11	3076	1	171	0	0	0	0
GCA_002110325.1_ASM211032v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2934037	0	131	131	57066	57066	22397	22397	163522	163522	37.4	3.23	88.38	11	2901	1	171	0	0	0	0
GCA_002110385.1_ASM211038v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2853380	0	106	106	87184	87184	26918	26918	174018	174018	37.5	3.19	88.61	11	2719	1	171	0	0	0	0
GCA_002110425.1_ASM211042v1	Firmicutes (1)	1349	172	99	98.99	0.03	0.0	3000792	0	137	137	38596	38596	21903	21903	105215	105215	37.3	2.8	88.09	11	2910	1	170	1	0	0	0
GCA_002115365.1_ASM211536v1	Firmicutes (1)	1349	172	99	97.47	21.25	93.18	3733585	0	393	393	20119	20119	9500	9500	113483	113483	37.7	2.77	81.56	11	4659	3	127	41	1	0	0
GCA_002115405.1_ASM211540v1	Firmicutes (1)	1349	172	99	98.48	4.62	87.5	3396932	0	856	856	11894	11894	3968	3968	94508	94508	37.5	3.35	81.12	11	4256	2	162	8	0	0	0
GCA_002115415.1_ASM211541v1	Firmicutes (1)	1349	172	99	98.65	10.1	100.0	3329167	0	156	156	53647	53647	21340	21340	155848	155848	37.7	2.78	82.36	11	3911	2	153	17	0	0	0
GCA_002119055.1_ASM211905v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3188377	0	15	15	446229	446229	212558	212558	1011520	1011520	38.1	3.46	83.9	11	3103	1	171	0	0	0	0
GCA_002250145.1_ASM225014v1	Firmicutes (1)	1349	172	99	98.99	0.03	0.0	2945287	0	113	113	73987	73987	26064	26064	180593	180593	37.3	3.61	88.22	11	2823	1	170	1	0	0	0
GCA_002897475.1_ASM289747v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2510745	0	237	237	36673	36673	10593	10593	148000	148000	35.7	3.69	86.26	11	2577	1	171	0	0	0	0
GCA_002897495.1_ASM289749v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2432574	0	246	246	54569	54569	9888	9888	158091	158091	35.7	3.5	85.66	11	2433	1	171	0	0	0	0
GCA_900080045.1_Isolate_23	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3011041	1	167	167	43001	43001	18030	18030	211775	211775	37.8	3.43	85.01	11	2972	1	171	0	0	0	0
GCA_900080055.1_Isolate_18	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2880136	0	157	157	45058	45058	18344	18344	136972	136972	37.7	3.3	84.74	11	2809	1	171	0	0	0	0
GCA_900080065.1_Isolate_30	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3017352	0	185	185	45068	45068	16310	16310	121124	121124	37.6	3.36	84.54	11	2975	1	171	0	0	0	0
GCA_900080075.1_Isolate_17	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3003027	2	162	162	43895	43895	18537	18537	147043	147043	37.9	3.23	85.09	11	2964	1	171	0	0	0	0
GCA_900080085.1_Isolate_21	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3020812	0	216	216	33131	33131	13985	13985	100382	100382	37.7	3.38	84.82	11	3003	1	171	0	0	0	0
GCA_900080095.1_Isolate_22	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3384249	1	320	320	34375	34375	10575	10575	132867	132867	37.5	3.37	84.78	11	3492	1	170	1	0	0	0
GCA_900080105.1_Isolate_12	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2972836	0	189	189	37255	37255	15729	15729	134814	134814	37.9	3.47	84.84	11	2931	1	171	0	0	0	0
GCA_900080115.1_Isolate_24	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3154726	12	342	342	31692	31692	9224	9224	92684	92684	37.6	3.48	83.64	11	3195	1	171	0	0	0	0
GCA_900092145.1_Ef_S1_05	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2763070	0	92	92	48515	48515	30033	30033	159791	159791	37.7	2.61	88.46	11	2658	1	171	0	0	0	0
GCA_900092155.1_Ef_S1_01	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2633486	0	76	76	53160	53160	34651	34651	164452	164452	37.7	2.67	88.75	11	2507	1	171	0	0	0	0
GCA_900092475.1_Ef_aus00233	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3272427	0	6	6	2888087	2888087	545404	545404	2888087	2888087	37.8	2.93	84.77	11	3160	1	171	0	0	0	0
GCA_900094185.1_Ef_DMG1500501	Firmicutes (1)	1349	172	99	98.48	0.0	0.0	3312025	0	5	5	2944104	2944104	662405	662405	2944104	2944104	37.6	2.72	83.38	11	3465	2	170	0	0	0	0
GCA_900101195.1_IMG-taxon_2651870318_annotated_assembly	Firmicutes (1)	1349	172	99	98.99	0.54	50.0	3564496	0	44	44	197700	197700	81011	81011	374838	374838	42.6	5.27	87.89	11	3330	1	169	2	0	0	0
GCA_900103995.1_IMG-taxon_2606217756_annotated_assembly	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3058004	0	39	39	133972	133972	78410	78410	983546	983546	37.1	4.04	88.24	11	3001	1	171	0	0	0	0
GCA_900104595.1_PRJEB16349	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2123933	0	4	4	1157085	1157085	530983	530983	1157085	1157085	38.5	1.21	87.86	11	1982	1	171	0	0	0	0
GCA_900111415.1_IMG-taxon_2606217798_annotated_assembly	Firmicutes (1)	1349	172	99	100.0	0.0	0.0	4448635	45	68	69	154132	154132	65421	64472	272586	272586	39.9	3.02	87.82	11	4450	0	172	0	0	0	0
GCA_900112655.1_IMG-taxon_2623620479_annotated_assembly	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3686667	0	28	28	333622	333622	131666	131666	699188	699188	42.4	4.14	87.17	11	3507	1	171	0	0	0	0
GCA_900114755.1_IMG-taxon_2606217799_annotated_assembly	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3245556	10	49	50	136327	136327	66235	64910	449420	449420	38.3	3.76	85.71	11	3004	1	171	0	0	0	0
GCA_900117305.1_PRJEB17655	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3096247	0	55	55	158332	158332	56295	56295	436448	436448	37.2	4.36	87.81	11	2982	1	171	0	0	0	0
GCA_900117325.1_PRJEB17657	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3253662	0	48	48	223370	223370	67784	67784	777601	777601	37.0	4.38	86.93	11	3104	1	171	0	0	0	0
GCA_900117335.1_PRJEB17656	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2972084	0	40	40	275643	275643	74302	74302	1342268	1342268	37.3	3.62	87.87	11	2857	1	171	0	0	0	0
GCA_900117345.1_PRJEB17653	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2899713	0	56	56	164729	164729	51780	51780	502851	502851	37.4	4.99	87.9	11	2786	1	171	0	0	0	0
GCA_900117355.1_PRJEB17659	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2953943	0	44	44	153379	153379	67135	67135	591391	591391	37.3	3.81	87.71	11	2833	1	171	0	0	0	0
GCA_900117365.1_PRJEB17658	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2760488	0	15	15	608984	608984	184032	184032	938053	938053	37.5	5.38	88.48	11	2560	1	171	0	0	0	0
GCA_900128935.1_Hp_76-17_S13_	Firmicutes (1)	1349	172	99	98.99	1.01	0.0	3196090	228	224	225	76985	76985	14268	14203	201650	201650	37.4	3.5	87.09	11	3140	1	170	1	0	0	0
GCA_900143325.1_Hp_74-d2_05	Firmicutes (1)	1349	172	99	98.99	98.99	33.92	5792259	0	361	361	138119	138119	16045	16045	625961	625961	37.8	4.04	85.81	11	5632	1	0	171	0	0	0
GCA_900143345.1_Hp_24-3_05	Firmicutes (1)	1349	172	99	98.99	0.09	0.0	2913698	666	269	270	96621	96621	10831	10789	257098	257098	37.7	3.58	84.33	11	2954	1	170	1	0	0	0
GCA_900143355.1_Hp_21-21_05	Firmicutes (1)	1349	172	99	98.99	0.17	100.0	2827151	383	221	222	57511	57511	12792	12733	139738	139738	38.1	3.88	84.21	11	2894	1	170	1	0	0	0
GCA_900143385.1_Hp_7-8_05	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2921868	274	234	235	86163	86163	12486	12432	272078	272078	38.2	3.57	84.76	11	2957	1	170	1	0	0	0
GCA_900143415.1_Hp_76-17_05	Firmicutes (1)	1349	172	99	98.99	1.01	0.0	3196090	228	224	225	76985	76985	14268	14203	201650	201650	37.4	3.5	87.08	11	3138	1	170	1	0	0	0
GCA_900143455.1_Hp_22-12_05	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2690170	313	147	148	99827	99827	18300	18174	224955	224955	38.3	3.25	85.57	11	2594	1	171	0	0	0	0
GCA_900148555.1_Hp_74-d2_05	Firmicutes (1)	1349	172	99	98.99	98.99	33.92	5792259	0	361	361	138119	138119	16045	16045	625961	625961	37.8	4.04	85.82	11	5635	1	0	171	0	0	0
GCA_900148595.1_Hp_5-10_05	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2885836	622	170	171	226574	226574	16975	16872	499744	499744	38.3	4.45	84.93	11	2778	1	171	0	0	0	0
GCA_900148655.1_Hp_74-d6_05	Firmicutes (1)	1349	172	99	100.0	31.64	33.96	3718385	377	1889	1890	137559	137559	1968	1967	375802	375802	37.9	3.9	82.44	11	4694	0	123	47	2	0	0
GCA_900148665.1_Hp_21-21_05	Firmicutes (1)	1349	172	99	98.99	0.17	100.0	2827151	383	221	222	57511	57511	12792	12733	139738	139738	38.1	3.88	84.21	11	2894	1	170	1	0	0	0
GCA_900148695.1_Hp_76-17_05	Firmicutes (1)	1349	172	99	98.99	1.01	0.0	3196090	228	224	225	76985	76985	14268	14203	201650	201650	37.4	3.5	87.1	11	3140	1	170	1	0	0	0
GCA_900148705.1_Hp_22-12_05	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2690170	313	147	148	99827	99827	18300	18174	224955	224955	38.3	3.25	85.58	11	2595	1	171	0	0	0	0
GCA_900148725.1_Hp_7-8_05	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2921868	274	234	235	86163	86163	12486	12432	272078	272078	38.2	3.57	84.77	11	2959	1	170	1	0	0	0
GCA_900163795.1_ASM90016379v1	Firmicutes (1)	1349	172	99	98.99	0.51	0.0	2950994	0	22	22	319188	319188	134136	134136	639381	639381	32.8	2.14	89.37	11	2842	1	170	1	0	0	0
GCA_900166945.1_ASM90016694v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2798919	0	83	83	109992	109992	33721	33721	340982	340982	38.0	4.0	85.91	11	2758	1	171	0	0	0	0
GCA_900178565.1_19789_6_154	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3098661	2088	183	197	48209	45242	16932	15718	193324	193324	37.6	3.15	84.18	11	3089	1	171	0	0	0	0
GCA_900178575.1_19789_6_117	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3177183	100	163	166	46569	43148	19491	19139	148048	148048	37.4	3.53	84.69	11	3120	1	171	0	0	0	0
GCA_900178595.1_19789_6_132	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2980709	879	164	168	50440	49583	18175	17737	122659	122659	37.7	3.47	84.72	11	2925	1	171	0	0	0	0
GCA_900178615.1_19789_6_115	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3196039	339	162	167	44868	43583	19728	19135	162946	162946	37.4	3.41	84.59	11	3167	1	171	0	0	0	0
GCA_900178625.1_19789_6_156	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2981850	731	163	168	49095	49095	18293	17744	122662	122662	37.7	3.46	84.78	11	2940	1	171	0	0	0	0
GCA_900178755.1_19789_6_131	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2985434	512	166	167	50855	49221	17984	17873	122546	122546	37.7	3.26	84.71	11	2929	1	171	0	0	0	0
GCA_900178805.1_19789_6_136	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2974770	837	148	156	42337	42337	20099	19063	146259	146259	37.7	3.41	84.39	11	2909	1	171	0	0	0	0
GCA_900178815.1_19789_6_122	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2967717	172	151	155	50437	50437	19653	19145	148930	148930	37.7	3.27	84.67	11	2909	1	171	0	0	0	0
GCA_900178825.1_19789_6_112	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3087855	565	149	154	53390	53390	20723	20047	183868	183867	37.5	3.4	84.87	11	3028	1	171	0	0	0	0
GCA_900178855.1_19789_6_126	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2968645	446	157	163	54394	50840	18908	18209	138356	138356	37.7	3.4	84.51	11	2902	1	171	0	0	0	0
GCA_900178895.1_19789_6_107	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3191610	197	166	170	41037	40877	19226	18773	136874	136874	37.4	3.3	84.72	11	3156	1	171	0	0	0	0
GCA_900178925.1_19789_6_121	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2988444	418	153	157	49545	49545	19532	19032	122532	122532	37.7	3.12	84.83	11	2942	1	171	0	0	0	0
GCA_900178945.1_19789_6_102	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3182659	281	164	170	51888	44313	19406	18719	149990	149990	37.4	3.34	84.75	11	3148	1	171	0	0	0	0
GCA_900178955.1_19789_6_100	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3194192	71	167	170	44859	43597	19126	18788	136878	136878	37.4	3.29	84.68	11	3153	1	171	0	0	0	0
GCA_900178975.1_19789_6_127	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2982123	1041	172	176	50414	49571	17337	16937	122532	122532	37.7	3.55	84.68	11	2932	1	171	0	0	0	0
GCA_900179025.1_19789_6_103	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3181326	368	161	164	53368	49505	19759	19396	113891	113891	37.4	3.27	84.67	11	3128	1	171	0	0	0	0
GCA_900179055.1_19789_6_157	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2987236	599	163	164	49208	49208	18326	18211	122542	122542	37.7	3.38	84.68	11	2930	1	171	0	0	0	0
GCA_900179075.1_19789_6_162	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3062110	783	171	178	49542	49542	17907	17198	151491	121517	37.6	2.98	84.02	11	3037	1	171	0	0	0	0
GCA_900179095.1_19789_6_164	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3062373	1151	168	176	52212	50300	18228	17393	151492	151492	37.6	2.82	84.03	11	3026	1	171	0	0	0	0
GCA_900179265.1_19789_6_27	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3184751	1511	213	218	40876	38874	14951	14602	138160	114526	37.4	3.58	84.47	11	3156	1	171	0	0	0	0
GCA_900179305.1_19789_6_171	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3192734	437	164	170	40761	40354	19467	18778	138782	138782	37.4	3.38	84.63	11	3160	1	171	0	0	0	0
GCA_900179315.1_19789_6_35	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3184998	1295	210	215	40891	40891	15166	14807	136870	136870	37.4	3.51	84.47	11	3152	1	171	0	0	0	0
GCA_900179335.1_19789_6_56	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3050736	274	191	193	48327	48327	15972	15805	117973	117973	37.7	3.55	84.67	11	3000	1	171	0	0	0	0
GCA_900179435.1_19789_6_169	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3090018	1045	187	200	45309	43026	16524	15444	193325	193325	37.6	3.28	84.21	11	3083	1	171	0	0	0	0
GCA_900179445.1_19789_6_170	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3119393	42	135	137	65918	61939	23106	22768	254992	254992	37.5	3.54	84.87	11	3072	1	171	0	0	0	0
GCA_900179475.1_19789_6_174	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2960902	44	131	132	50337	50337	22602	22430	205872	205872	37.7	3.24	84.49	11	2848	1	171	0	0	0	0
GCA_900179485.1_19789_6_46	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3087316	675	198	200	43316	43316	15592	15433	120508	120508	37.5	3.54	84.64	11	3050	1	171	0	0	0	0
GCA_900179515.1_19789_6_172	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3046728	25	154	155	41168	41168	19783	19656	263110	263110	37.8	2.89	84.79	11	2958	1	171	0	0	0	0
GCA_900179525.1_19789_6_57	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3200433	2043	211	221	40752	40752	15167	14472	121844	109027	37.4	3.47	84.47	11	3175	1	171	0	0	0	0
GCA_900179545.1_19789_6_31	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3096354	1405	193	202	43308	41314	16043	15321	113097	113097	37.5	3.36	84.59	11	3057	1	171	0	0	0	0
GCA_900179585.1_19789_6_61	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3095288	477	199	202	41231	41047	15554	15320	120499	120499	37.5	3.51	84.73	11	3044	1	171	0	0	0	0
GCA_900179595.1_19789_6_63	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3093137	597	202	203	41047	41047	15312	15234	136874	136874	37.5	3.5	84.76	11	3048	1	171	0	0	0	0
GCA_900179665.1_19789_6_69	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3199865	555	209	214	41081	40869	15310	14950	120499	120499	37.4	3.47	84.61	11	3185	1	171	0	0	0	0
GCA_900179705.1_19789_6_74	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3197344	482	209	215	40869	38870	15298	14869	145211	109003	37.4	3.5	84.65	11	3181	1	171	0	0	0	0
GCA_900179735.1_19789_7_25	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3192446	508	168	172	44431	43570	19002	18557	147959	147959	37.4	3.64	84.51	11	3155	1	171	0	0	0	0
GCA_900179745.1_19789_6_82	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3141310	1309	205	208	40920	41047	15323	15096	136878	136878	37.5	3.52	84.42	11	3102	1	171	0	0	0	0
GCA_900179765.1_19789_7_107	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2939985	259	160	165	49569	49151	18374	17816	163648	163648	37.9	3.66	84.4	11	2874	1	171	0	0	0	0
GCA_900179805.1_19789_7_1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2937357	2	146	146	45044	45044	20118	20118	154155	154154	37.9	3.24	84.56	11	2859	1	171	0	0	0	0
GCA_900179815.1_19789_6_84	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3173613	5	210	210	40919	40919	15112	15112	109025	109025	37.4	3.53	84.68	11	3141	1	171	0	0	0	0
GCA_900179875.1_19789_7_2	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2941466	9	147	147	49658	49658	20009	20009	149511	149511	37.9	3.51	84.51	11	2860	1	171	0	0	0	0
GCA_900179915.1_19789_7_11	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2898425	90	150	153	50431	50431	19322	18943	206013	206013	37.7	3.58	84.66	11	2792	1	171	0	0	0	0
GCA_900179935.1_19789_7_111	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3043505	1119	167	172	50634	49768	18224	17688	151456	151456	37.6	3.17	83.96	11	3015	1	171	0	0	0	0
GCA_900179985.1_19789_6_91	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3202153	51	209	210	41320	41320	15321	15248	136904	136904	37.4	3.51	84.64	11	3187	1	171	0	0	0	0
GCA_900180085.1_19789_7_7	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2940874	16	154	155	49171	49171	19096	18973	134889	134889	37.9	3.34	84.52	11	2870	1	171	0	0	0	0
GCA_900180145.1_19952_1_20	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3193650	149	168	172	47963	43575	19009	18566	147951	147951	37.4	3.45	84.73	11	3155	1	171	0	0	0	0
GCA_900180215.1_19952_1_31	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2937568	3	151	151	49136	49136	19454	19454	163644	163644	37.9	3.71	84.47	11	2855	1	171	0	0	0	0
GCA_900180225.1_19952_1_33	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2936864	1	143	143	49124	49124	20537	20537	192509	192508	37.9	3.31	84.58	11	2855	1	171	0	0	0	0
GCA_900180245.1_19952_4_120	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3120501	164	133	136	61000	61000	23462	22943	178712	178712	37.5	3.18	84.91	11	3081	1	171	0	0	0	0
GCA_900180295.1_19952_4_7	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2843312	127	153	156	49224	49224	18583	18225	123468	123468	38.0	3.15	84.49	11	2771	1	171	0	0	0	0
GCA_900180305.1_19952_4_9	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2942322	69	150	151	49184	49184	19615	19485	188814	186864	37.9	3.31	84.46	11	2868	1	171	0	0	0	0
GCA_900180325.1_19952_4_147	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3046575	230	179	183	50676	50676	17019	16646	122494	122494	37.6	3.01	83.9	11	3023	1	171	0	0	0	0
GCA_000007785.1_ASM778v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3359974	0	4	4	3218031	3218031	839993	839993	3218031	3218031	37.4	3.06	87.57	11	3271	1	171	0	0	0	0
GCA_000147215.1_ASM14721v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2871527	588	40	83	180826	58653	71788	34589	440732	189380	37.4	4.05	87.99	11	2708	1	171	0	0	0	0
GCA_000147235.1_ASM14723v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2922651	510	190	211	37831	37739	15382	13849	128547	128547	37.7	3.5	86.12	11	2895	1	171	0	0	0	0
GCA_000147255.1_ASM14725v1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3228333	598	141	177	118935	51956	22895	18235	404343	215568	37.0	4.62	88.12	11	3266	1	171	0	0	0	0
